Site do Objeto;ID Objeto;Descrição do Objeto;ID Ponto Teste;Descrição Ponto Teste;Cód Parâmetro;Descrição Parâmetros;Unid Medida;Valor Medido;Data Registro;Aviso;Tipo de Medição;Valores Registrados;ID Medição;Nota de Medição;Recurso Seq.
TLG;TLG2-DRD;ESTAÇÃO COND HOTELEIRO MORUMBI;COG;COG THT e TBM;C_THT;THT COG 3min;mg/m3;19;13/05/2026 16:05;Criado por GETULIO;Leitura Registrada;19;;;
TLG;TLG2-FRL;ESTAÇÃO FERAL;COG;COG THT e TBM;C_TBM;TBM COG 3min;mg/m3;5;13/05/2026 09:58;Criado por GETULIO;Leitura Registrada;5;;;
TLG;TLG2-FRL;ESTAÇÃO FERAL;COG;COG THT e TBM;C_THT;THT COG 3min;mg/m3;14;13/05/2026 09:58;Criado por GETULIO;Leitura Registrada;14;;;
TLG;TLG2-JDF;EE JOAO DANTAS FILGUEIRAS;COG;COG THT e TBM;C_TBM;TBM COG 3min;mg/m3;6;12/05/2026 08:32;Criado por GETULIO;Leitura Registrada;6;;;
TLG;TLG2-JDF;EE JOAO DANTAS FILGUEIRAS;COG;COG THT e TBM;C_THT;THT COG 3min;mg/m3;18;12/05/2026 08:32;Criado por GETULIO;Leitura Registrada;18;;;
TLG;TLG2-LBS;ESTAÇÃO LANCHONETE BOM SABOR;COG;COG THT e TBM;C_TBM;TBM COG 3min;mg/m3;5;12/05/2026 10:56;Criado por GETULIO;Leitura Registrada;5;;;
TLG;TLG2-LBS;ESTAÇÃO LANCHONETE BOM SABOR;COG;COG THT e TBM;C_THT;THT COG 3min;mg/m3;16;12/05/2026 10:56;Criado por GETULIO;Leitura Registrada;16;;;
TLG;TLG2-MFB;ESTAÇÃO TOMS CHEF;COG;COG THT E TBM;C_THT;THT COG 3min;mg/m3;11;12/05/2026 13:58;Criado por GETULIO;Leitura Registrada;11;;;
TLG;TLG2-MFB;ESTAÇÃO TOMS CHEF;COG;COG THT E TBM;C_TBM;TBM COG 3min;mg/m3;5;12/05/2026 13:58;Criado por GETULIO;Leitura Registrada;5;;;
TLG;TLG2-MFB;ESTAÇÃO TOMS CHEF;COG;COG THT E TBM;C_TBM;TBM COG 3min;mg/m3;5;12/05/2026 13:58;Criado por GETULIO;Leitura Registrada;5;;;
